LOUISVILLE,KY,Agg asslt,2,38.2542376,-85.759407
LOUISVILLE,KY,Shoplifting,1,38.2542376,-85.759407
MARION,VA,Agg asslt,1,36.8348383,-81.5148368
OSCODA,MI,Simple asslt,3,44.6789109,-84.1467693
PORT LAVACA,TX,Agg asslt,1,28.6149968,-96.6260892
CLAYTON,MO,Intimidation,3,38.6425518,-90.3237263
CLAYTON,MO,Destruct/vandalism,1,38.6425518,-90.3237263
CLAYTON,MO,Simple asslt,1,38.6425518,-90.3237263
FREDERICKTOWN,MO,Simple asslt,1,37.5597754,-90.294007
GARDEN CITY,ID,Destruct/vandalism,1,43.622111,-116.2381787
WAYNESBORO,PA,Destruct/vandalism,1,39.7557827,-77.5776512
WAYNESBORO,PA,Shoplifting,1,39.7557827,-77.5776512
NEW ROCHELLE,NY,Destruct/vandalism,1,40.9115386,-73.7826363
SAN FRANCISCO,CA,Agg asslt,9,37.7647993,-122.4629897
SAN FRANCISCO,CA,Destruct/vandalism,8,37.7647993,-122.4629897
SAN FRANCISCO,CA,Simple asslt,7,37.7647993,-122.4629897
SAN FRANCISCO,CA,Intimidation,4,37.7647993,-122.4629897
SHERBORN,MA,Intimidation,1,42.2389857,-71.3697814
TRENTON,TN,Simple asslt,1,35.9806239,-88.9414538
AURORA,CO,Simple asslt,3,39.729432,-104.8319196
AURORA,CO,Destruct/vandalism,2,39.729432,-104.8319196
AURORA,CO,Agg asslt,1,39.729432,-104.8319196
BEECHER,IL,Agg asslt,1,41.34059,-87.6214286
CHANDLER,OK,Intimidation,1,35.7020648,-96.8809766
DARLINGTON,SC,Intimidation,1,34.2998762,-79.8761741
PONTIAC,MI,Simple asslt,1,40.8808666,-88.6297839
PROVO,UT,Destruct/vandalism,1,40.2338438,-111.6585337
PROVO,UT,Simple asslt,1,40.2338438,-111.6585337
ROSELLE,NJ,Destruct/vandalism,1,40.6503925,-74.26088333
SHELTON,WA,Simple asslt,1,47.2150945,-123.1007066
BILLINGS,MT,Destruct/vandalism,4,45.7874957,-108.49607
BILLINGS,MT,Theft from building,3,45.7874957,-108.49607
BILLINGS,MT,Simple asslt,2,45.7874957,-108.49607
BILLINGS,MT,Shoplifting,2,45.7874957,-108.49607
BILLINGS,MT,Agg asslt,2,45.7874957,-108.49607
BILLINGS,MT,All other larceny,2,45.7874957,-108.49607
BILLINGS,MT,Drug equip violations,1,45.7874957,-108.49607
BILLINGS,MT,Impersonation,1,45.7874957,-108.49607
BILLINGS,MT,Robbery,1,45.7874957,-108.49607
BILLINGS,MT,Theft from motor vehicle,1,45.7874957,-108.49607
BILLINGS,MT,Drug/Narc violations,1,45.7874957,-108.49607
BILLINGS,MT,Burg/B & E,1,45.7874957,-108.49607
BOWLING GREEN,OH,Destruct/vandalism,1,41.3747744,-83.6513229
BOWLING GREEN,OH,Counterfeit/forgery,1,41.3747744,-83.6513229
EAST BRUNSWICK,NJ,Destruct/vandalism,5,40.4278841,-74.415984
EAST BRUNSWICK,NJ,Intimidation,3,40.4278841,-74.415984
MCDONOUGH,GA,Destruct/vandalism,2,33.4473361,-84.1468616
MCDONOUGH,GA,Intimidation,1,33.4473361,-84.1468616
APPLETON,WI,Destruct/vandalism,1,44.2611337,-88.4067604
APPLETON,WI,Simple asslt,1,44.2611337,-88.4067604
BATTLE CREEK,MI,Agg asslt,1,42.3192548,-85.1824269
BATTLE CREEK,MI,Robbery,1,42.3192548,-85.1824269
BATTLE CREEK,MI,Intimidation,1,42.3192548,-85.1824269
BRYANT,AR,Intimidation,1,34.5959265,-92.4890469
ELLENSBURG,WA,Burg/B & E,1,46.9970635,-120.5451223
FRENCH CAMP,CA,Destruct/vandalism,2,37.876291,-121.2717439
FRENCH CAMP,CA,Agg asslt,1,37.876291,-121.2717439
HAYS,KS,Burg/B & E,1,38.8791783,-99.3267702
LYNN,MA,Simple asslt,5,42.466763,-70.9494939
LYNN,MA,Agg asslt,5,42.466763,-70.9494939
LYNN,MA,Destruct/vandalism,3,42.466763,-70.9494939
LYNN,MA,All other larceny,2,42.466763,-70.9494939
LYNN,MA,Burg/B & E,1,42.466763,-70.9494939
LYNN,MA,Drug/Narc violations,1,42.466763,-70.9494939
LYNN,MA,Shoplifting,1,42.466763,-70.9494939
LYNN,MA,Weapon law violations,1,42.466763,-70.9494939
MANCHESTER,TN,Theft from building,1,35.4817432,-86.0885993
MATHEWS,VA,Intimidation,1,37.4481394,-76.331696
MOWEAQUA,IL,Agg asslt,1,39.6247614,-89.0189684
PLYMOUTH,MN,Destruct/vandalism,2,45.0065149,-93.46651
QUINCY,MA,Agg asslt,6,42.2528772,-71.0022705
QUINCY,MA,Destruct/vandalism,5,42.2528772,-71.0022705
QUINCY,MA,Simple asslt,4,42.2528772,-71.0022705
QUINCY,MA,Intimidation,4,42.2528772,-71.0022705
QUINCY,MA,Drug/Narc violations,1,42.2528772,-71.0022705
QUINCY,MA,All other larceny,1,42.2528772,-71.0022705
ASHLAND,KY,Destruct/vandalism,2,38.4784144,-82.6379387
ASHLAND,KY,Agg asslt,1,38.4784144,-82.6379387
ASHLAND,KY,Burg/B & E,1,38.4784144,-82.6379387
ASHLAND,KY,Motor vehicle theft,1,38.4784144,-82.6379387
ASHLAND,KY,Shoplifting,1,38.4784144,-82.6379387
ASHLAND,KY,Simple asslt,1,38.4784144,-82.6379387
GUYMON,OK,Destruct/vandalism,1,36.6828041,-101.4815493
LAPEER,MI,Simple asslt,3,43.0904764,-83.2333705
LAPEER,MI,Destruct/vandalism,3,43.0904764,-83.2333705
MORRISTOWN,NJ,Intimidation,1,40.7970384,-74.4809492
MORRISTOWN,NJ,Destruct/vandalism,1,40.7970384,-74.4809492
SOUTH HADLEY,MA,Intimidation,1,42.2584245,-72.5745332
WASHINGTON COURT HOUSE,OH,Theft from building,1,39.5364511,-83.4390843
YAKIMA,WA,Simple asslt,3,46.601557,-120.5108421
YAKIMA,WA,Destruct/vandalism,2,46.601557,-120.5108421
YAKIMA,WA,Agg asslt,1,46.601557,-120.5108421
YAKIMA,WA,Burg/B & E,1,46.601557,-120.5108421
BELLINGHAM,WA,Intimidation,6,48.754402,-122.4788602
BELLINGHAM,WA,Destruct/vandalism,3,48.754402,-122.4788602
BELLINGHAM,WA,Simple asslt,2,48.754402,-122.4788602
BELLINGHAM,WA,Theft from motor vehicle,2,48.754402,-122.4788602
BELLINGHAM,WA,Impersonation,1,48.754402,-122.4788602
HIGHLAND HEIGHTS,KY,Theft from motor vehicle,1,39.0330902,-84.4521512
