Stolen property offenses,School--elementary/secondary,2
Arson,Hotel/motel,2
Arson,Service/gas station,1
Robbery,School/college,5
Stolen property offenses,Highway/road/alley,3
Murder/non-neg manslaughter,Terminal,1
Theft from building,Hotel/motel,1
Simple asslt,Restaurant,164
Destruct/vandalism,Rental store,12
Theft from building,Office building,7
Pocket-picking,Highway/road/alley,1
Simple asslt,Jail/prison,145
Destruct/vandalism,Industrial site,6
Drug/Narc violations,School--elementary/secondary,4
Weapon law violations,Highway/road/alley,14
Destruct/vandalism,Liquor store,4
Fondling (Indecent Liberties/Child Molesting),Park/playground,1
False pretenses/swindle/conf game,Office building,1
Theft from motor vehicle,School--elementary/secondary,1
Counterfeit/forgery,Gambling facility/casino/race track,1
Intimidation,Residence/home,3016
Arson,Residence/home,57
Intimidation,Amusement park,1
All other larceny,Liquor store,1
Burg/B & E,Bank,1
Sex asslt w/object,Jail/prison,1
Robbery,Grocery/supermarket,8
Motor vehicle theft,Other/unknown,4
Agg asslt,Daycare facility,1
Destruct/vandalism,Gambling facility/casino/race track,1
Drug equip violations,Jail/prison,2
Robbery,Other/unknown,36
Agg asslt,Specialty store,20
Weapon law violations,Jail/prison,1
Motor vehicle theft,Govt/public building,1
Agg asslt,Convenience store,61
Credit card/ATM fraud,Hotel/motel,2
All other larceny,Park/playground,3
Purchasing prostitution,Parking lot/garage,1
Simple asslt,Other/unknown,1118
Agg asslt,Office building,21
Weapon law violations,Terminal,1
Burg/B & E,Specialty store,9
Robbery,Specialty store,3
Kidnapping/abduction,Govt/public building,1
Burg/B & E,Department store,1
Simple asslt,School/college,216
Theft from motor vehicle,Other/unknown,6
All other larceny,Construction site,4
Extort/blackmail,Residence/home,7
Simple asslt,Construction site,10
Theft of mv parts,Highway/road/alley,7
Theft from motor vehicle,Amusement park,1
All other larceny,Govt/public building,6
Robbery,Dock/wharf/freight/modal terminal,1
Weapon law violations,Hotel/motel,2
Arson,Lake/waterway,2
Credit card/ATM fraud,Residence/home,19
Sex asslt w/object,Highway/road/alley,1
Simple asslt,Grocery/supermarket,69
Theft from motor vehicle,Parking lot/garage,59
Theft from building,Residence/home,75
Intimidation,Rental store,5
Motor vehicle theft,Residence/home,29
Fondling (Indecent Liberties/Child Molesting),Daycare facility,1
Assist prostitution,Highway/road/alley,1
Agg asslt,Shopping mall,8
Agg asslt,Dock/wharf/freight/modal terminal,1
Theft from building,Bar,1
Destruct/vandalism,Daycare facility,5
Robbery,Department store,4
Embezzlement,Specialty store,1
Robbery,Bank,2
Destruct/vandalism,School--college/university,271
Assist prostitution,Hotel/motel,1
Motor vehicle theft,Highway/road/alley,15
Simple asslt,Amusement park,2
Impersonation,Highway/road/alley,1
Simple asslt,Community center,1
Robbery,Shopping mall,1
Simple asslt,School--elementary/secondary,241
Impersonation,Other/unknown,6
Theft from building,Govt/public building,1
Sodomy,Jail/prison,1
All other larceny,Bar,3
Embezzlement,Residence/home,7
Shoplifting,Liquor store,1
Simple asslt,Industrial site,4
Weapon law violations,Park/playground,1
Credit card/ATM fraud,Drug store/dr office/hosp,1
Theft from building,Convenience store,3
Murder/non-neg manslaughter,Other/unknown,3
Simple asslt,Residence/home,1561
Theft from motor vehicle,Restaurant,3
Credit card/ATM fraud,Bank,1
Agg asslt,Lake/waterway,8
Impersonation,Govt/public building,1
Robbery,Service/gas station,7
Murder/non-neg manslaughter,Jail/prison,1
Burg/B & E,Shelter--mission/homeless,1
Simple asslt,Dock/wharf/freight/modal terminal,4
Destruct/vandalism,Residence/home,2975
Theft from coin-op machine,Convenience store,1
Intimidation,Restaurant,215
Theft from motor vehicle,Hotel/motel,1
Destruct/vandalism,Arena/stadium/fairgrounds/coliseum,4
Extort/blackmail,Drug store/dr office/hosp,1
Counterfeit/forgery,Service/gas station,4
Impersonation,Liquor store,1
Intimidation,School/college,390
Robbery,Terminal,11
Drug equip violations,Terminal,1
Drug/Narc violations,Residence/home,99
All other larceny,Field/woods,3
