2014,Jan,23C,3
2012,Oct,240,2
2013,Sep,220,12
2015,Oct,26B,1
2012,Sep,35B,2
2012,Feb,09A,1
2013,Apr,26C,1
2013,Aug,26A,1
2014,Mar,13C,99
2014,Feb,120,5
2014,Apr,220,9
2012,May,11D,4
2012,May,200,3
2015,Sep,11A,1
2015,Feb,220,8
2012,May,13A,68
2011,Mar,13C,145
2011,Jan,23C,4
2013,Sep,23C,2
2014,Jan,240,2
2012,Mar,13C,165
2012,Aug,520,2
2012,Aug,36A,1
2013,Jan,240,1
2014,Aug,13A,77
2014,Nov,120,9
2014,Nov,210,1
2012,Mar,35B,1
2012,May,11A,1
2011,Jan,290,134
2011,Mar,120,10
2011,Apr,120,16
2015,Jun,11A,1
2014,Mar,120,7
2014,Jan,26A,1
2014,May,26C,1
2014,Nov,23D,2
2011,Sep,250,1
2013,Jun,23C,4
2013,Aug,23F,3
2015,Feb,13A,51
2015,Dec,200,2
2014,Sep,120,11
2014,Feb,240,3
2012,May,240,3
2013,Apr,35A,3
2013,Jul,09A,1
2013,Apr,240,2
2013,Aug,250,1
2013,Mar,11D,1
2015,Aug,220,15
2015,Apr,210,1
2012,May,23F,3
2011,Dec,23H,20
2013,Apr,220,11
2015,Jan,23D,3
2014,Oct,23H,12
2013,Jul,40B,1
2015,Jun,13C,132
2014,Oct,220,13
2011,Nov,200,2
2013,Apr,13C,139
2013,Apr,11A,1
2013,Jul,26B,1
2015,Jan,13A,49
2015,Jan,09A,1
2014,Oct,13A,52
2014,Jun,13A,54
2014,Nov,220,11
2011,Sep,11A,1
2013,Apr,13A,44
2015,Oct,23D,2
2012,Jul,13A,56
2011,Feb,23F,1
2011,Sep,26B,2
2013,Sep,120,14
2015,Nov,13A,30
2014,Jun,200,4
2014,Mar,23H,7
2012,Jul,23F,7
2011,Mar,26B,1
2011,Apr,240,2
2011,Apr,26A,1
2013,Aug,220,18
2015,Nov,220,12
2014,Oct,26A,2
2011,Sep,13A,68
2011,Jun,240,2
2013,Mar,13B,108
2013,Mar,26B,1
2015,Nov,23H,6
2014,Aug,200,1
2012,Jun,13A,64
2012,Jun,220,11
2012,Jul,26A,1
2011,Jun,290,176
2013,May,26A,2
2015,Aug,240,5
2015,Jan,26E,2
2012,Jan,370,1
2011,Mar,23H,3
2013,May,200,4
2013,Oct,23C,2
2012,Aug,35A,21
2015,Jun,26B,2
2014,Jul,35B,1
2011,Apr,35A,1
2013,Mar,23F,2
2015,Feb,290,95
2014,Dec,13B,85
2014,Jan,23D,3
2014,Feb,280,1
2012,Dec,11D,1
2012,Aug,26C,1
2011,Dec,13C,125
2011,May,23D,3
2013,Dec,26C,2
2012,Aug,13C,136
2012,Jun,23H,10
2013,Nov,13A,27
2013,Dec,11B,2
2015,Mar,35A,4
2014,Dec,26A,4
2012,Mar,23H,6
2012,Feb,270,1
2011,Dec,13A,35
2011,Jun,23F,7
2014,Aug,35A,1
2014,Feb,26C,2
2011,Aug,13A,82
2015,May,290,160
2015,Sep,250,2
2015,Oct,23F,3
2012,Mar,270,3
2011,Feb,250,2
2013,Nov,11D,1
2014,Sep,23C,2
2014,Nov,370,1
2012,Jun,26C,1
2012,Sep,240,1
2011,Jun,250,1
2013,Jul,13B,134
2013,May,23D,2
2015,Apr,35A,3
2014,Feb,13B,82
2014,Aug,13B,128
2014,Mar,26B,1
2013,Sep,200,4
2013,Sep,240,3
2013,Aug,23D,4
2013,Feb,23C,3
2013,Oct,520,1
2013,Jul,23B,1
2015,Feb,26B,1
2011,Jun,13B,122
2011,Oct,200,6
2013,Mar,210,1
2015,Mar,13C,110
2014,Feb,11A,1
2014,Apr,35B,1
2012,Dec,240,3
2012,Sep,23F,6
2011,Mar,35A,1
2015,May,200,5
2014,Nov,13C,100
2014,Apr,13A,50
2012,Sep,220,12
2011,Feb,11A,1
2011,Apr,23C,3
2012,Mar,240,2
2012,Jun,35A,22
2011,Nov,13A,30
2011,Sep,23F,2
2013,May,290,156
2015,Aug,13B,122
2015,May,23H,5
2012,Feb,13C,140
2012,Nov,120,7
2012,Mar,23G,1
2014,Apr,35A,1
2012,Apr,200,5
2012,Apr,250,2
2013,Jun,220,6
2013,Apr,26B,2
2015,Feb,23D,4
2014,Jan,290,85
2014,Dec,35B,1
2012,Jan,120,16
2012,Mar,23D,2
2011,Mar,13B,106
2013,Aug,13B,149
2015,Mar,35B,1
2014,Mar,13A,41
2014,Dec,11D,1
2014,Jul,23D,6
2012,Oct,23H,17
2012,Apr,220,7
2012,Nov,35A,10
2011,Apr,23H,8
2011,Jun,23C,2
2013,Aug,13A,71
2013,Nov,220,15
2014,Jun,240,1
2012,Oct,13C,122
2012,Oct,11D,2
2012,Apr,11A,1
2011,Oct,26A,1
2011,Nov,210,1
2013,Jun,200,1
2015,Oct,290,127
2012,Aug,11D,2
2012,Jul,23D,2
2012,May,26A,2
2013,Jan,120,10
2013,Oct,200,3
2015,Aug,120,9
2012,May,120,6
2013,Feb,23D,3
2015,Dec,290,124
2015,Aug,23F,3
2015,Apr,23F,4
2014,Mar,09A,2
2014,Dec,26B,1
2012,Aug,220,9
2013,Sep,13A,54
2013,Jul,11D,3
2015,May,11D,1
2015,Mar,26A,1
2014,Apr,13C,113
2012,Sep,23D,2
2011,Jan,280,1
2013,May,23G,1
2015,May,13C,130
2012,May,220,8
2011,Oct,13A,60
2013,May,11A,3
2015,Jan,13B,89
2015,Feb,520,2
2014,Jun,23C,2
2014,Jan,210,1
2012,Oct,23D,4
2012,Nov,270,1
2011,Mar,280,1
2013,Mar,200,3
2014,Jul,13A,56
2012,Nov,13B,106
2012,Oct,23F,7
2012,Dec,23C,8
2012,Jun,200,1
2012,Dec,26C,1
2011,Mar,200,5
2013,Jul,520,2
2013,Apr,210,1
2014,Dec,23G,1
2015,Mar,13A,52
2015,Dec,520,1
2014,Dec,23F,3
2014,Mar,26E,1
2014,Feb,520,1
2015,Sep,290,129
2014,Feb,13A,32
2014,Jan,11D,1
2014,Jun,35A,1
2012,Jul,23H,10
2012,Jan,13C,140
2012,Apr,35B,4
2011,Dec,23F,3
2011,Feb,26A,1
2011,Aug,35A,1
2011,Jul,26A,1
2013,Jan,23F,2
2014,Mar,11A,2
2014,Apr,510,1
2014,Nov,23F,2
2013,Mar,220,13
2015,Apr,290,152
2015,Nov,200,1
2014,Dec,200,2
2012,Oct,11A,3
2012,Aug,280,1
2011,Aug,11B,2
2013,Sep,26C,3
2015,Mar,13B,113
2015,Dec,13B,109
2012,Nov,220,28
2012,Sep,200,2
2011,Apr,23F,1
2015,Oct,26C,1
2014,Jun,220,7
2014,Sep,26A,2
2014,Mar,250,1
2012,Aug,290,178
2012,Sep,11D,2
2013,Dec,23H,13
2015,Jul,13C,140
2015,Aug,23G,1
2011,Jul,13B,125
2011,Oct,26B,1
2013,Apr,26A,2
2013,Nov,210,1
2015,Apr,11B,1
2014,May,240,1
2012,Sep,23H,15
2012,Mar,23C,5
2012,Oct,23C,2
2013,Nov,280,1
2015,Jun,09A,2
2015,Jan,120,6
2012,Feb,11A,1
2012,Dec,23D,2
2011,Jul,13C,135
2011,Jun,120,13
2013,Jun,120,13
2015,Aug,23C,5
2015,Dec,100,1
2011,Nov,23C,3
2013,Mar,290,139
2013,May,09A,1
2015,Sep,13C,111
2014,Jan,120,13
2014,Aug,23H,11
2014,Oct,100,1
2012,Oct,220,8
2013,Apr,13B,116
2013,Feb,23H,5
2013,Aug,11A,1
2014,Apr,290,129
2014,Nov,11A,1
2012,Feb,290,174
2013,Jun,23F,4
2013,Dec,240,2
2015,Dec,13C,123
2014,Sep,270,1
2014,May,100,1
2012,May,250,1
2011,Sep,13B,128
2013,Aug,26B,3
2013,Sep,09A,1
2014,Nov,11D,1
2014,Jul,11A,1
2012,May,35A,18
2011,Dec,290,186
2012,Nov,23G,1
2015,May,13B,145
2015,Jan,220,11
2015,Sep,13B,121
2015,Sep,120,14
2015,Aug,11C,1
2014,May,23F,6
2012,Dec,250,1
2015,Dec,26A,3
2014,Dec,13C,92
2014,May,26B,1
2011,Aug,120,12
2015,Mar,23H,3
2015,Mar,280,1
2014,Jan,13A,31
2014,May,120,9
2011,Aug,13C,152
2013,Jan,13C,93
2015,Jun,26A,1
2015,Feb,26C,1
2015,Oct,100,2
2014,Sep,23G,2
2014,Dec,35A,2
2014,Jul,23C,1
2012,Aug,13B,104
2012,May,26B,1
2012,Aug,23G,2
2012,May,23C,2
2012,Nov,520,1
2011,Jan,13B,89
2012,Nov,240,2
2013,Apr,35B,2
2015,Dec,26B,1
2012,Aug,240,1
2011,Jun,13C,151
2013,Jul,13A,79
2013,Jun,35A,7
2015,Mar,220,10
2014,Jan,35A,1
2012,Apr,13A,55
2012,Jan,11D,1
2012,Jan,11B,1
2011,Jul,23F,1
2013,Apr,23F,4
2015,Mar,23D,2
2015,Jul,26A,2
2014,Apr,23H,7
2014,Apr,200,5
2014,Sep,11A,1
2012,Sep,290,179
2011,Jan,23H,2
2011,Jun,200,1
2013,Feb,13B,77
2013,Dec,120,8
2013,Jul,200,5
2014,Aug,11B,1
2014,Jun,23D,2
2012,Oct,280,1
2011,Nov,13C,108
2013,Feb,35A,1
2015,Oct,120,10
2012,Mar,35A,6
2012,Oct,13B,105
2012,Jul,11D,1
2011,Jun,13A,69
2011,Dec,220,15
2015,Sep,23H,16
2015,Apr,240,1
2012,Feb,23H,6
2011,Aug,11A,1
2013,Mar,13C,135
2013,Mar,11A,1
2015,Apr,11D,1
2012,Apr,23D,1
2011,Feb,220,13
2011,Feb,35A,1
2013,Nov,11A,3
2014,Feb,23H,5
2014,May,13B,116
2014,Mar,26C,3
2012,Feb,240,1
2011,Oct,23F,2
2013,Oct,290,136
2013,May,23C,4
2015,Mar,200,1
2014,Jan,13B,68
2014,Sep,290,128
2011,Jul,23D,1
2011,Mar,09A,2
2013,Oct,23H,11
2013,Nov,120,9
2015,Nov,13C,126
2014,Apr,23C,3
2013,Apr,120,10
2013,Jun,100,2
2015,Aug,200,4
2015,Oct,26A,2
2014,Sep,26B,1
2013,Dec,35B,2
2015,Jun,120,12
2015,Mar,520,1
2014,Aug,290,168
2014,Jan,23H,7
2014,Sep,240,2
2014,Feb,250,2
2013,Jun,13B,165
2013,Apr,200,4
2013,Sep,11A,2
2014,Nov,290,107
2012,Aug,23F,2
2014,May,290,145
2014,Sep,200,2
2012,Jul,13C,126
2012,Jun,23D,1
2011,Sep,220,11
2011,Mar,250,1
2013,Aug,35A,2
2013,Oct,240,3
2014,Oct,13C,126
2014,Aug,13C,121
2014,Sep,11C,1
2014,Feb,26B,1
2013,Oct,13B,127
2013,May,280,1
2014,Mar,23F,3
2014,Nov,200,2
2012,Nov,26B,1
2013,Dec,270,1
2015,Jan,240,1
2015,Jul,240,1
2014,Dec,13A,56
2012,Nov,13C,101
2012,Apr,520,2
2013,Mar,13A,52
2013,Dec,290,105
2013,Dec,13A,33
2013,Sep,23G,1
2013,Feb,250,1
2013,Mar,35A,1
2015,Nov,290,144
2015,Nov,11A,2
2015,Oct,240,1
2012,Nov,23H,10
2014,Jul,23G,1
2012,Jul,220,11
2012,Sep,35A,4
2012,Nov,35B,2
2011,Aug,11D,1
2015,Jun,220,13
2015,Feb,23H,7
2015,Feb,23F,1
2015,Jul,23C,3
2014,Mar,35A,3
2012,May,09A,1
2015,Aug,13C,132
2015,Dec,35A,6
