Agg asslt,Residence/home,TN,48
Destruct/vandalism,Bar,TX,3
Rape,Residence/home,AL,1
Intimidation,School--college/university,MN,2
Agg asslt,School/college,NB,1
Simple asslt,Restaurant,NB,2
Intimidation,Department store,NC,6
Intimidation,Parking lot/garage,ND,2
Simple asslt,Bar,OK,3
Theft from motor vehicle,Parking lot/garage,SC,1
Robbery,Liquor store,CA,1
Agg asslt,Parking lot/garage,NC,5
Destruct/vandalism,Govt/public building,WV,1
Arson,Residence/home,WA,1
Robbery,Highway/road/alley,CT,4
Destruct/vandalism,Govt/public building,CT,7
Simple asslt,School/college,ME,3
Destruct/vandalism,Other/unknown,UT,3
Destruct/vandalism,Residence/home,WA,117
Impersonation,Parking lot/garage,WA,2
Intimidation,Office building,AL,1
Simple asslt,Lake/waterway,CA,5
Purse-snatching,Highway/road/alley,KY,1
Arson,Other/unknown,OH,1
Agg asslt,Residence/home,GA,4
Intimidation,School--college/university,IL,2
All other larceny,School/college,NJ,1
Simple asslt,Office building,UT,1
Robbery,Hotel/motel,ID,1
Agg asslt,Lake/waterway,VA,1
All other larceny,Other/unknown,AR,1
Simple asslt,Parking lot/garage,AZ,14
Agg asslt,Terminal,MN,1
All other larceny,School--elementary/secondary,SC,1
Drug equip violations,Residence/home,TN,2
Intimidation,Residence/home,VA,36
Intimidation,Residence/home,WA,123
Impersonation,Bank,WA,2
Agg asslt,Bar,ID,7
Intimidation,School--college/university,NH,1
Counterfeit/forgery,Grocery/supermarket,OK,1
Agg asslt,Jail/prison,WA,1
Intimidation,Community center,CA,6
Agg asslt,Lake/waterway,TN,1
Robbery,Residence/home,UT,1
Agg asslt,Department store,TX,1
Simple asslt,Gambling facility/casino/race track,CA,2
Simple asslt,Office building,CT,1
Agg asslt,Specialty store,FL,1
Simple asslt,Residence/home,IL,22
Intimidation,Govt/public building,KY,10
Arson,Residence/home,MN,2
Credit card/ATM fraud,Highway/road/alley,MO,1
Rape,Other/unknown,NY,3
Destruct/vandalism,Church/Synagogue/Temple,DE,5
All other larceny,Terminal,KY,2
Simple asslt,Office building,NM,1
Theft from motor vehicle,School--elementary/secondary,SC,1
Intimidation,Convenience store,LA,1
False pretenses/swindle/conf game,Residence/home,MO,1
Simple asslt,Service/gas station,ND,2
Intimidation,Office building,NV,1
Robbery,Grocery/supermarket,OH,1
Theft from motor vehicle,Parking lot/garage,OH,6
Theft of mv parts,Other/unknown,WA,2
Simple asslt,Bank,CA,1
Simple asslt,School--elementary/secondary,IL,4
Intimidation,Convenience store,ME,2
Simple asslt,Hotel/motel,MN,1
Burg/B & E,School--elementary/secondary,MT,1
Simple asslt,Specialty store,CT,1
Intimidation,Residence/home,NC,65
Intimidation,Highway/road/alley,OH,104
Theft from building,Office building,ND,1
Destruct/vandalism,School/college,NV,1
Destruct/vandalism,Rental store,OR,1
Intimidation,Residence/home,MD,3
All other larceny,Parking lot/garage,MT,1
Shoplifting,Grocery/supermarket,MT,2
Arson,Lake/waterway,CA,1
Simple asslt,Office building,CO,1
Agg asslt,Park/playground,MA,2
Shoplifting,Other/unknown,SC,1
Agg asslt,Service/gas station,TX,2
Motor vehicle theft,Highway/road/alley,WV,1
All other larceny,Rest area,MI,1
Simple asslt,Terminal,CT,4
Intimidation,Drug store/dr office/hosp,CT,13
Theft from motor vehicle,Residence/home,KS,5
Theft from motor vehicle,Church/Synagogue/Temple,KS,1
Simple asslt,Parking lot/garage,KY,15
Burg/B & E,Construction site,MI,1
Simple asslt,Highway/road/alley,NH,3
Destruct/vandalism,Hotel/motel,SC,4
Drug equip violations,Highway/road/alley,UT,11
Simple asslt,Drug store/dr office/hosp,WA,7
Intimidation,Department store,AL,1
Agg asslt,Convenience store,CT,1
Simple asslt,Office building,MO,1
Simple asslt,School--elementary/secondary,OH,15
Simple asslt,Lake/waterway,WA,2
Extort/blackmail,Office building,WI,1
Intimidation,Other/unknown,WV,2
Burg/B & E,Park/playground,MN,1
Counterfeit/forgery,Gambling facility/casino/race track,MT,1
Simple asslt,Construction site,WA,2
Simple asslt,Daycare facility,CA,1
Intimidation,Govt/public building,KS,3
Drug/Narc violations,Highway/road/alley,LA,1
Credit card/ATM fraud,Service/gas station,MI,1
Robbery,Residence/home,NC,4
Theft from building,School--elementary/secondary,SC,1
Robbery,School--elementary/secondary,IL,1
Simple asslt,Other/unknown,AZ,14
Simple asslt,Highway/road/alley,DC,93
Agg asslt,Govt/public building,MD,1
Simple asslt,Terminal,MN,3
Simple asslt,Grocery/supermarket,NC,2
Destruct/vandalism,School--elementary/secondary,SC,5
Simple asslt,Restaurant,TN,6
Simple asslt,Drug store/dr office/hosp,KY,4
Simple asslt,Drug store/dr office/hosp,MO,1
Intimidation,Restaurant,MO,5
Agg asslt,Service/gas station,OH,3
Destruct/vandalism,Industrial site,CA,1
Drug equip violations,Highway/road/alley,CT,1
Destruct/vandalism,Drug store/dr office/hosp,IL,2
Intimidation,Department store,KY,1
Simple asslt,School--college/university,MN,2
Embezzlement,Auto dealership new/used,MO,1
Drug equip violations,Highway/road/alley,ND,2
Simple asslt,Jail/prison,SC,2
Robbery,Service/gas station,AZ,1
Robbery,School/college,KS,1
Simple asslt,Bar,ME,3
Destruct/vandalism,Church/Synagogue/Temple,ME,6
All other larceny,Residence/home,MI,15
Agg asslt,Highway/road/alley,NC,26
Destruct/vandalism,Office building,NH,2
Agg asslt,Highway/road/alley,PA,19
Burg/B & E,Residence/home,RI,6
Shoplifting,Department store,TN,6
