2011,Jan,U,194
2012,Aug,U,227
2012,Jul,B,88
2015,Jun,U,224
2015,Feb,A,3
2014,May,I,4
2012,Jun,M,23
2012,Apr,M,19
2012,Aug,B,76
2014,Feb,B,61
2011,Oct,I,5
2013,Apr,W,202
2013,Sep,P,1
2013,May,I,5
2011,Aug,B,70
2015,Jul,I,6
2012,Nov,W,177
2014,Nov,W,142
2014,Jul,M,15
2012,Apr,W,225
2011,Sep,W,234
2015,Oct,B,77
2014,Apr,I,6
2015,Aug,U,222
2015,May,A,3
2011,Jun,A,4
2013,Dec,U,156
2015,May,B,94
2014,Sep,B,71
2011,Jun,M,15
2014,Aug,M,18
2012,Mar,W,226
2011,Nov,I,1
2014,Oct,B,82
2011,Oct,U,258
2011,Sep,U,220
2013,Jul,A,2
2014,Dec,I,1
2012,Jan,U,249
2012,Jan,W,205
2011,Mar,U,227
2011,Feb,A,7
2012,Nov,U,199
2011,Jan,W,177
2015,Aug,W,199
2014,Jul,W,202
2011,Apr,A,4
2013,Mar,W,193
2014,Sep,I,4
2012,Aug,M,22
2015,Jun,W,216
2014,Nov,B,54
2013,Aug,I,3
2014,Dec,W,148
2014,Apr,P,1
2015,Sep,U,187
2015,Mar,A,7
2014,Dec,U,149
2012,Jan,A,8
2015,Aug,M,23
2014,Dec,A,4
2013,Aug,W,218
2015,Mar,W,158
2015,Nov,M,14
2015,Jan,I,2
2014,Sep,W,200
2015,Jan,M,8
2012,Dec,I,3
2011,Oct,W,221
2013,Oct,U,209
2011,Jul,U,227
2014,Aug,I,2
2013,Aug,M,9
2015,Jan,B,60
2013,Jan,U,171
2012,Jan,B,81
2013,May,W,239
2014,Apr,B,95
2014,Oct,A,2
2014,Apr,A,3
2012,Apr,A,4
2012,Jun,W,209
2011,Jul,W,224
2011,Mar,M,9
2011,May,I,2
2011,May,B,66
2013,Sep,B,89
2013,Aug,B,111
2015,Dec,I,4
2012,Feb,B,78
2015,Dec,M,23
2014,Mar,U,186
2014,Jun,U,208
2014,Sep,U,195
2012,Mar,M,12
2015,Jun,I,4
2011,Apr,B,56
2013,May,M,12
2015,Apr,A,5
2013,Feb,U,178
2012,Feb,I,7
2011,Apr,U,245
2013,Feb,W,159
2015,Sep,I,3
2014,Feb,I,3
2011,Dec,I,3
2013,Jan,A,2
